id,id_microbe,id_disease,neg_relations,pos_relations,strength_raw,strength_IF
305,19,4205,2,1,-1,-3.587
306,19,4483,1,2,1,-0.429
307,19,8137,1,0,-1,-0.87
308,19,6128,1,0,-1,-0.819
309,19,16844,0,1,1,0.849
310,19,2558,2,4,2,1.115
311,19,6558,0,1,1,0.826
312,19,1594,1,2,1,-0.091
313,19,3054,1,0,-1,-0.944
314,19,1528,0,1,1,0.574
315,19,15868,2,1,-1,-0.838
316,19,18304,0,1,1,3.5
317,19,2310,2,0,-2,-1.566
318,19,2183,3,5,2,4.118
319,19,627,2,5,3,1.75
320,19,30261,0,2,2,1.494
321,19,1592,3,2,-1,1.504
322,19,8803,0,1,1,3.5
323,19,23760,2,0,-2,-1.735
324,19,6095,0,1,1,0.653
325,19,3395,2,1,-1,-0.925
326,19,76,0,1,1,0.653
327,19,23630,0,1,1,0.653
328,19,29834,0,1,1,0.784
329,19,10993,0,1,1,0.793
330,19,6073,1,1,0,0.0
331,19,1377,0,1,1,0.793
332,19,5162,1,0,-1,-0.731
333,19,5115,2,0,-2,-1.636
334,19,18301,0,1,1,0.783
335,19,3143,1,0,-1,-0.826
336,19,401,2,0,-2,-1.48
337,19,8654,0,1,1,0.735
338,19,4388,1,0,-1,-3.5
339,19,794,0,1,1,3.5
340,19,7997,1,1,0,-0.105
341,19,117,1,2,1,0.955
342,19,5092,0,1,1,0.604
343,19,3447,1,2,1,0.285
344,19,696,6,0,-6,-4.634
345,19,14189,0,1,1,0.722
346,19,7925,0,1,1,0.535
347,19,173,3,0,-3,-4.903
348,19,970,2,2,0,-3.266
349,19,13524,1,0,-1,-0.636
350,19,3026,1,0,-1,-0.789
351,19,2358,2,4,2,1.564
352,19,7983,0,4,4,3.673
353,19,17613,0,2,2,3.913
354,19,10663,0,1,1,0.783
355,19,13507,0,1,1,0.786
356,19,2347,3,1,-2,-1.832
357,19,2322,0,2,2,1.482
358,19,26,0,4,4,5.919
359,19,4171,4,0,-4,-3.104
360,19,6255,3,0,-3,-4.854
361,19,671,0,4,4,5.83
362,19,9859,1,1,0,-0.082
363,19,6627,0,1,1,1.047
364,19,4968,1,0,-1,-0.826
365,19,13232,2,0,-2,-3.579
366,19,27146,1,0,-1,-1.638
367,19,7161,1,0,-1,-1.638
368,19,5728,0,1,1,1.825
369,19,3274,1,0,-1,-0.493
370,19,15468,0,1,1,0.699
371,19,3080,0,3,3,4.93
372,19,2810,0,3,3,2.142
373,19,1706,2,0,-2,-4.684
374,19,1293,1,0,-1,-0.756
375,19,7498,1,0,-1,-0.679
376,19,26519,0,1,1,1.502
377,19,9027,0,2,2,1.958
378,19,33,1,0,-1,-0.826
379,19,6254,1,2,1,0.899
380,19,1156,3,1,-2,-4.34
381,19,699,1,1,0,-0.149
382,19,3030,1,3,2,1.532
383,19,18733,1,0,-1,-0.692
384,19,1412,0,1,1,0.692
385,19,11138,1,0,-1,-0.574
386,19,6509,1,1,0,0.208
387,19,5800,1,1,0,-0.521
388,19,2559,1,3,2,1.22
389,19,8474,1,0,-1,-0.532
390,19,3978,2,1,-1,0.331
391,19,8530,0,1,1,1.226
392,19,1529,1,2,1,0.398
393,19,6280,0,2,2,5.002
394,19,407,1,1,0,-0.47
395,19,5614,1,1,0,-0.133
396,19,1413,5,3,-2,-0.895
397,19,1515,0,2,2,1.566
398,19,1760,0,1,1,0.738
399,19,5735,2,0,-2,-1.656
400,19,5029,4,2,-2,-1.579
401,19,13118,0,1,1,0.562
402,19,2157,0,1,1,0.562
403,19,635,7,6,-1,-7.042
404,19,4282,2,1,-1,-1.353
